review_number,revision_number,arquivo_positivo,potencial_deslocamento,potencial_teste,arquivo_diferente
656,1,RepositoriesView_0.java,0,0,0
661,1,RepositoriesView_0.java,0,0,0
661,1,RepositoriesView_1.java,1,0,0
661,1,RepositoriesView_1.java,1,0,0
664,1,ResetAction_0.java,0,0,1
664,1,Track_1.java,0,0,1
664,1,Track_1.java,0,0,1
664,2,ResetAction_2.java,0,0,1
664,2,ResetAction_2.java,0,0,1
664,2,ResetAction_2.java,0,0,1
664,2,ResetAction_1.java,0,0,1
664,2,Track_1,0,0,1
664,2,Track_1,0,0,1
664,3,ResetAction_2.java,0,0,1
664,3,ResetAction_2.java,0,0,1
664,3,ResetAction_2.java,0,0,1
664,3,ResetAction_1.java,0,0,1
664,3,Track_3_rev_2.java,0,0,1
665,1,BranchSelectionDialog_6.java,0,0,0
665,1,BranchSelectionDialog_6.java,0,0,0
665,1,BranchSelectionDialog_5.java,0,0,0
665,1,BranchSelectionDialog_5.java,0,0,0
665,2,BranchSelectionDialog_6_rev_1.java,0,0,0
665,2,BranchSelectionDialog_6_rev_1.java,0,0,0
665,2,BranchSelectionDialog_5.java,0,0,0
665,2,BranchSelectionDialog_5.java,0,0,0
665,3,BranchSelectionDialog_6_rev_1.java,0,0,0
665,3,BranchSelectionDialog_6_rev_1.java,0,0,0
665,3,BranchSelectionDialog_5,0,0,0
665,3,BranchSelectionDialog_5,0,0,0
665,4,BranchSelectionDialog_5,0,0,0
665,4,BranchSelectionDialog_5,0,0,0
665,5,BranchSelectionDialog_3.java,0,0,1
672,1,DisconnectProviderOperation_0.java,0,0,0
676,1,UpdateOperation_1.java,0,0,1
677,1,RepositoriesView_0.java,0,0,0
677,1,RepositoriesView_0.java,0,0,0
677,2,RepositoriesView_0.java,0,0,0
677,2,RepositoriesView_0.java,0,0,0
677,3,RepositoriesView_0.java,0,0,0
677,3,RepositoriesView_0.java,0,0,0
692,1,RepositoriesView_0.java,0,0,0
692,1,RepositoriesView_0.java,0,0,0
699,1,CommitDialog_2.java,0,0,0
699,1,CommitDialog_2.java,0,0,1
699,1,CommitDialog_2.java,0,0,1
703,1,GitCreatePatchWizard_1.java,0,0,0
713,1,RepositoriesView_0.java,0,0,0
714,3,RepositoriesView_1.java,0,0,1
714,3,RepositoriesView_1.java,0,0,1
714,3,RepositoriesView_1.java,0,0,1
